RA,DEC,p_max,precisionX,s/n,id
220.20565372485413,37.43767637450572,0.2349794525653124,0.4328025567206175,-1.0,SZ_G063.96+64.81
73.80098560729485,47.80871204811378,0.2349803238175809,0.4328032197274064,-1.0,SZ_G158.93+02.72
312.3878651872764,-4.5783450960730185,0.2350122388452291,0.4328275064704831,5.0629940000000015,SZ_G042.93-28.27
12.607437766223612,-17.61761834886389,0.2350195129401981,0.4328330419216059,-1.0,SZ_G121.48-80.49
166.01082854714662,-24.74503678419646,0.2350250221788883,0.4328372343498905,-1.0,SZ_G274.00+32.02
61.99213066125992,-32.0878549108455,0.2350263828411698,0.4328382697886064,-1.0,SZ_G231.88-47.36
304.690925994647,-8.890521106960673,0.2350509129464626,0.4328569367429784,-1.0,SZ_G034.80-23.42
74.44842018974384,-7.474098249332237,0.2350530154071748,0.4328585366765178,-1.0,SZ_G206.43-28.63
158.48917552252854,38.48647985545008,0.2350681386888027,0.4328700452128544,5.459425,SZ_G182.53+59.18
237.4364271060201,58.39034009692774,0.2351726945489645,0.4329496102798473,7.453517999999999,SZ_G090.89+46.10
188.20187074799665,25.56793864978988,0.2351920614019037,0.4329643480951086,5.003315,SZ_G232.38+85.54
25.978144611706583,9.186426848395673,0.2352084085345268,0.4329767879593141,-1.0,SZ_G144.04-51.52
340.9197339087717,-3.812691227026308,0.2352297655306756,0.4329930402365823,-1.0,SZ_G064.70-51.62
306.98230483191344,-54.65604418535322,0.2352382354438305,0.4329994856831267,-1.0,SZ_G343.43-35.62
39.00560239572693,69.40618794080635,0.2352510620839893,0.4330092465179757,-1.0,SZ_G131.95+08.39
347.3720211979003,17.761831741226118,0.2352616019546985,0.4330172671637605,-1.0,SZ_G091.23-38.75
208.57127325658496,1.309016763114281,0.2353000803850591,0.4330465485343569,-1.0,SZ_G335.83+60.10
94.88093749199555,25.03765426566553,0.2353401078532139,0.4330770086939345,-1.0,SZ_G187.12+04.65
42.2083997621141,-39.20976917471672,0.2353422688320279,0.4330786531586621,6.139684,SZ_G246.78-62.79
250.0772800815854,-76.03077897144905,0.2353439112193882,0.4330799029849287,-1.0,SZ_G315.33-19.04
310.31583937495674,65.40394114232915,0.2353973044082522,0.4331205342096382,-1.0,SZ_G100.55+14.11
299.92415954716074,-22.59924142161466,0.2354421238414943,0.4331546409656151,6.425997,SZ_G019.03-24.60
266.0040116219901,11.1182974836451,0.2354496195912361,0.4331603450919017,-1.0,SZ_G035.49+19.95
109.55231440673644,19.643714347702137,0.2354506686329841,0.4331611433931813,-1.0,SZ_G198.02+14.54
177.25777510250995,39.88626445059858,0.2354769082739949,0.4331811112724725,-1.0,SZ_G164.38+71.83
355.6508020695412,-18.19607208105284,0.2354824068024754,0.4331852955504865,5.5103480000000005,SZ_G058.73-71.81
226.2594881338353,-80.73449751120148,0.2355212713591754,0.4332148707560533,-1.0,SZ_G308.32-19.29
14.007425252775407,46.782130156765135,0.2355225286446512,0.4332158275269407,-1.0,SZ_G123.75-16.08
283.1454388436745,-26.351394972785567,0.2355258762836457,0.4332183750180182,-1.0,SZ_G009.25-11.91
141.49205945903324,66.96511988062295,0.2355436598882079,0.4332319080106805,-1.0,SZ_G146.29+39.57
177.84262764011,16.872619556782407,0.2355600362643599,0.4332443701286681,-1.0,SZ_G246.27+72.73
117.82231028559694,76.95000105857346,0.23559729475528,0.4332727231480161,-1.0,SZ_G137.48+29.74
82.37820358498374,3.5528961459944286,0.2356084361672401,0.4332812015555165,-1.0,SZ_G200.02-16.41
43.41945788984271,-49.89579982944476,0.2356202425435185,0.4332901859885084,-1.0,SZ_G265.49-57.40
57.03880738426336,-55.37032318558146,0.235620591789484,0.4332904517581993,5.185578,SZ_G267.00-47.55
310.41705920163923,-40.14281136687968,0.2356287964752742,0.4332966953716472,-1.0,SZ_G001.60-37.50
354.24978925889366,-31.36613353783669,0.2356422659941017,0.4333069454252187,-1.0,SZ_G013.85-73.24
63.59417320347337,30.390610845881767,0.235674946103245,0.4333318143810984,-1.0,SZ_G166.62-14.79
313.69042086857985,35.56780835207325,0.2356773284263909,0.4333336272847501,-1.0,SZ_G078.31-06.07
169.4104754729279,36.15187292552515,0.2357178315520286,0.4333644494108347,-1.0,SZ_G182.70+68.17
332.9056896447365,-37.28208100457303,0.235723131801933,0.4333684828025362,-1.0,SZ_G005.87-54.99
38.07158815717281,2.5149261130352567,0.235729728359729,0.4333735026604586,5.477233,SZ_G166.26-51.67
324.3981564096445,-41.07285189355946,0.2357601802796125,0.4333966760057101,-1.0,SZ_G000.63-48.12
174.40576618019563,-31.53100275255106,0.2357705735734531,0.4334045851092211,5.122876,SZ_G285.01+28.76
70.09279599676886,12.039012845696444,0.2357798959128558,0.4334116792363027,8.184025,SZ_G185.49-22.08
